,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Australia,Australia,GPE,-0.08056186,0.59843726,en,16.60000000,4003900-6,2077456,A,-25.0,135.0,OCEANIA,Australia,CAU
Victoria,Victoria,GPE,-0.16297847,0.61244019,en,7.60000000,,241131,P,-4.62001,55.45501,INDIAN,Seychelles,EIO
Ireland,Ireland,GPE,-0.05808081,0.37373737,en,6.60000000,4027667-3,2963597,A,53.0,-8.0,EUROPE,Ireland,NEU
South Australia,South Australia,LOC,0.10631313,0.69617605,en,4.20000000,4078016-8,2061327,A,-30.0,135.0,OCEANIA,Australia,CAU
Alaska,Alaska,GPE,-0.14285714,0.38888889,en,4.20000000,4001016-8,5879092,A,64.00028,-150.00028,NORTH-AMERICA,United States,NWN
Canada,Canada,GPE,0.05942761,0.30673401,en,2.70000000,4029456-0,6251999,A,60.10867,-113.64258,NORTH-AMERICA,Canada,NWN
Adelaide,Adelaide,GPE,0.09102564,0.47307692,en,2.60000000,4079623-1,2078025,P,-34.92866,138.59863,OCEANIA,Australia,SAU
New South Wales,New South Wales,GPE,0.02607809,0.54440559,en,2.60000000,4058708-3,2147714,P,-33.86785,151.20732,OCEANIA,Australia,EAU
Northern Territory,Northern Territory,LOC,-0.20512821,0.48076923,en,2.60000000,4042588-5,6638952,,-77.55,163.31667,POLAR,Antarctica,EAN
UK,UK,GPE,-0.42307692,0.46153846,en,2.60000000,4022153-2,2635167,A,54.75844,-2.69531,EUROPE,United Kingdom,NEU
Toronto,Toronto,GPE,-0.06666667,0.51111111,en,1.80000000,4060459-7,6167865,P,43.70643,-79.39864,NORTH-AMERICA,Canada,ENA
Ontario,Ontario,GPE,0.01338384,0.20757576,en,1.80000000,4122012-2,6094817,P,45.41117,-75.69812,NORTH-AMERICA,Canada,ENA
Quebec,Quebec,GPE,0.03074495,0.34646465,en,1.80000000,4103473-9,6325494,P,46.81228,-71.21454,NORTH-AMERICA,Canada,ENA
United States,United States,GPE,0.19212963,0.67824074,en,1.80000000,,0,L,-14.60485,-57.65625,,,
Sydney,Sydney,GPE,0.00000000,0.00000000,en,1.80000000,4058708-3,2147714,P,-33.86785,151.20732,OCEANIA,Australia,EAU
Los Angeles,Los Angeles,GPE,-0.01527778,0.15185185,en,1.80000000,4036361-2,5368361,P,34.05223,-118.24368,NORTH-AMERICA,United States,WNA
Melbourne,Melbourne,GPE,-0.00925926,0.23148148,en,1.80000000,4038526-7,2158177,P,-37.814,144.96332,OCEANIA,Australia,SAU
Europe,Europe,LOC,-0.05555556,0.11111111,en,1.80000000,,0,L,50.28762,15.1903,,,
Tasmania,Tasmania,GPE,-0.03156566,0.68181818,en,1.80000000,4059099-9,2147291,A,-42.0,147.0,OCEANIA,Australia,SAU
Northern India,Northern India,LOC,0.00000000,0.50000000,en,1.00000000,,3580678,P,19.3,-81.11667,CENTRAL-AMERICA,Cayman Islands,CAR
NY,NY,GPE,-0.12500000,0.60000000,en,1.00000000,,3042198,P,54.22209,-4.69099,EUROPE,Isle of Man,NEU
Syracuse,Syracuse,GPE,-0.12500000,0.60000000,en,1.00000000,4205703-6,5140405,P,43.04812,-76.14742,NORTH-AMERICA,United States,ENA
the United States,the United States,GPE,-0.12500000,0.60000000,en,1.00000000,,0,L,-14.60485,-57.65625,,,
Perth,Perth,GPE,0.00000000,0.00000000,en,1.00000000,4232458-0,2063523,P,-31.95224,115.8614,OCEANIA,Australia,SAU
London,London,GPE,-0.02000000,0.52000000,en,1.00000000,4074335-4,2643743,P,51.50853,-0.12574,EUROPE,United Kingdom,NEU
France,France,GPE,-1.00000000,1.00000000,en,1.00000000,4018145-5,3017382,A,46.0,2.0,EUROPE,France,WCE
Vic,Vic,GPE,0.50000000,1.00000000,en,1.00000000,4294389-9,3106050,P,41.93012,2.25486,EUROPE-AFRICA,Spain,MED
The United States,The United States,GPE,-0.09800000,0.27800000,en,1.00000000,,0,L,-14.60485,-57.65625,,,
SA,SA,GPE,0.50000000,1.00000000,en,1.00000000,,0,L,-14.60485,-57.65625,,,
Snapscope,Snapscope,GPE,0.50000000,0.50000000,en,1.00000000,,0,,,,,,
Queensland,Queensland,GPE,-0.06250000,0.50000000,en,1.00000000,4103475-2,2152274,A,-20.0,145.0,OCEANIA,Australia,NAU
B.C.,B.C.,GPE,0.00000000,0.00000000,en,1.00000000,,7315164,P,32.71904,-114.66005,CENTRAL-AMERICA,United States,NCA
Tiwi Islands,Tiwi Islands,GPE,0.00000000,0.00000000,en,1.00000000,,7839409,A,-11.55324,130.78178,OCEANIA,Australia,NAU
West Arnhem Land,West Arnhem Land,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
SYDNEY,SYDNEY,GPE,-0.30000000,0.80000000,en,1.00000000,4058708-3,2147714,P,-33.86785,151.20732,OCEANIA,Australia,EAU
Western Australia,Western Australia,LOC,0.00000000,0.03333333,en,1.00000000,4232458-0,2063523,P,-31.95224,115.8614,OCEANIA,Australia,SAU
China,China,GPE,0.00000000,0.50000000,en,1.00000000,4009937-4,1814991,A,35.0,105.0,ASIA,China,EAS
India,India,GPE,0.71250000,0.45000000,en,1.00000000,4026722-2,1269750,A,22.0,79.0,ASIA,India,SAS
Shakes Anchorage,Shakes Anchorage,LOC,0.00000000,0.10000000,en,1.00000000,,0,,,,,,
Anchorage,Anchorage,GPE,0.00000000,0.40000000,en,1.00000000,4246931-4,5879400,P,61.21806,-149.90028,NORTH-AMERICA,United States,NWN
Western Australia's,Western Australia's,LOC,0.07727273,0.37757576,en,1.00000000,,11523932,L,-20.04148,123.72189,OCEANIA,Australia,CAU
Parramatta,Parramatta,GPE,0.07727273,0.37757576,en,1.00000000,4568608-7,8349386,P,-16.92598,145.76643,OCEANIA,Australia,NAU
the United States Geological Survey,the United States Geological Survey,GPE,0.00000000,0.00000000,en,1.00000000,,7708204,S,30.225,-92.045,NORTH-AMERICA,United States,CNA
Wales,Wales,GPE,0.00000000,0.00000000,en,1.00000000,4058708-3,2147714,P,-33.86785,151.20732,OCEANIA,Australia,EAU
Bondi Beach,Bondi Beach,GPE,-0.40000000,0.60000000,en,1.00000000,1078128693,2174949,T,-33.89169,151.27762,OCEANIA,Australia,EAU
the Gulf of St Vincent,the Gulf of St Vincent,LOC,0.25333333,0.81333333,en,1.00000000,5119202-0,4169171,P,27.29393,-80.35033,NORTH-AMERICA,United States,ENA
Macquarie,Macquarie,GPE,0.50000000,0.90000000,en,1.00000000,,0,U,-57.0,159.0,,,
southern states,southern states,LOC,-0.01666667,0.41666667,en,1.00000000,,11961329,L,47.23129,39.69204,EUROPE,Russia,WCE
