,phrase,label,sentiment,subjectivity,language,count
first,first,ORDINAL,,,en,29.89999999999998
winter,winter,DATE,,,en,27.499999999999996
2026,2026,DATE,,,en,25.599999999999987
today,today,DATE,,,en,22.599999999999984
one,one,CARDINAL,,,en,18.899999999999984
Friday,Friday,DATE,,,en,17.099999999999994
this week,this week,DATE,,,en,16.29999999999999
Australian,Australian,NORP,,,en,14.500000000000004
Tuesday,Tuesday,DATE,,,en,14.099999999999998
three,three,CARDINAL,,,en,12.699999999999996
two,two,CARDINAL,,,en,11.899999999999993
Monday,Monday,DATE,,,en,11.499999999999996
Thursday,Thursday,DATE,,,en,11.299999999999997
Saturday,Saturday,DATE,,,en,10.599999999999998
Sunday,Sunday,DATE,,,en,10.099999999999996
this weekend,this weekend,DATE,,,en,9.799999999999999
second,second,ORDINAL,,,en,9.699999999999994
10,10,CARDINAL,,,en,8.4
2025,2025,DATE,,,en,8.2
Indian,Indian,NORP,,,en,8.100000000000001
World Cup,World Cup,EVENT,,,en,7.800000000000001
Wednesday,Wednesday,DATE,,,en,7.200000000000001
the weekend,the weekend,DATE,,,en,7.1000000000000005
summer,summer,DATE,,,en,7.000000000000001
decades,decades,DATE,,,en,6.699999999999999
12,12,MONEY,,,en,6.5
Canadian,Canadian,NORP,,,en,6.200000000000002
5,5,CARDINAL,,,en,6.100000000000001
tonight,tonight,TIME,,,en,6.000000000000002
American,American,NORP,,,en,5.800000000000002
1,1,CARDINAL,,,en,5.800000000000002
thousands,thousands,CARDINAL,,,en,5.800000000000001
Today,Today,DATE,,,en,5.800000000000001
third,third,ORDINAL,,,en,5.700000000000001
3,3,CARDINAL,,,en,5.7
five,five,CARDINAL,,,en,5.400000000000001
four,four,CARDINAL,,,en,5.400000000000001
One,One,CARDINAL,,,en,5.300000000000001
March,March,DATE,,,en,5.300000000000001
evening,evening,TIME,,,en,5.1000000000000005
this year,this year,DATE,,,en,5.1000000000000005
morning,morning,TIME,,,en,4.9
2,2,CARDINAL,,,en,4.700000000000001
Winter,Winter,DATE,,,en,4.7
weeks,weeks,DATE,,,en,4.6000000000000005
February,February,DATE,,,en,4.4
Thousands,Thousands,CARDINAL,,,en,4.3
Christmas,Christmas,DATE,,,en,4.2
hundreds,hundreds,CARDINAL,,,en,4.2
Two,Two,CARDINAL,,,en,4.2
year,year,DATE,,,en,4.1000000000000005
Australians,Australians,NORP,,,en,4.1
Iranian,Iranian,NORP,,,en,4.0
5.7,5.7,CARDINAL,,,en,4.0
20,20,CARDINAL,,,en,3.9000000000000012
May,May,DATE,,,en,3.9000000000000004
years,years,DATE,,,en,3.9000000000000004
6.0,6.0,CARDINAL,,,en,3.8
7.8,7.8,CARDINAL,,,en,3.7000000000000015
millions,millions,CARDINAL,,,en,3.700000000000001
season,season,DATE,,,en,3.6999999999999993
Millions,Millions,CARDINAL,,,en,3.6000000000000005
Week,Week,DATE,,,en,3.6
daily,daily,DATE,,,en,3.5999999999999996
night,night,TIME,,,en,3.5
April,April,DATE,,,en,3.3000000000000007
Three,Three,CARDINAL,,,en,3.3000000000000003
this summer,this summer,DATE,,,en,3.3
17,17,CARDINAL,,,en,3.2
next week,next week,DATE,,,en,3.2
the year,the year,DATE,,,en,3.2
the coming days,the coming days,DATE,,,en,3.2
six,six,CARDINAL,,,en,3.1000000000000005
2024,2024,DATE,,,en,3.1000000000000005
this month,this month,DATE,,,en,3.1
Americans,Americans,NORP,,,en,3.1
Chinese,Chinese,NORP,,,en,3.0999999999999996
the 2026 World Cup,the 2026 World Cup,EVENT,,,en,3.0999999999999996
50,50,CARDINAL,,,en,3.0000000000000004
T20 World Cup,T20 World Cup,EVENT,,,en,3.0
European,European,NORP,,,en,2.9000000000000004
days,days,DATE,,,en,2.9
13,13,CARDINAL,,,en,2.8999999999999995
yesterday,yesterday,DATE,,,en,2.8999999999999995
weekly,weekly,DATE,,,en,2.8000000000000007
this winter,this winter,DATE,,,en,2.8000000000000003
